order_id,supplier_id,supplier_reliability_score,region,product_category,transport_mode,order_date,expected_delivery_date,actual_delivery_date,delay_days,weather_risk_index,geopolitical_risk_index,port_congestion_index,inventory_level_units,demand_forecast_units,actual_demand_units,order_value_usd,disruption_flag
ORD-100018,SUP-002,0.788,Europe,Machinery,Sea,2023-01-29,2023-02-20,2023-02-20,0,0.595,0.41,0.161,551.1,448.3,540.6,10295.98,0
ORD-100019,SUP-033,0.8,Europe,Electronics,Road,2023-06-24,2023-06-30,2023-06-30,0,0.344,0.127,0.053,547.9,473.2,586.5,3353.16,0
ORD-100020,SUP-009,0.768,North America,Pharma,Road,2023-05-13,2023-05-16,2023-05-16,0,0.512,0.431,0.036,549.8,360.2,444.0,9817.75,0
ORD-100021,SUP-005,0.967,Asia Pacific,Electronics,Rail,2023-11-04,2023-11-12,2023-11-12,0,0.429,0.405,0.07,435.0,408.9,302.8,7559.24,0
ORD-100022,SUP-038,0.957,North America,Textiles,Road,2023-12-02,2023-12-05,2023-12-05,0,0.297,0.319,0.026,557.6,446.1,307.7,4697.65,0
ORD-100023,SUP-023,0.548,Asia Pacific,Machinery,Sea,2023-04-26,2023-05-19,2023-05-24,5,0.449,0.156,0.661,452.1,396.4,368.1,2078.8,1
ORD-100024,SUP-034,0.576,North America,Machinery,Road,2023-07-25,2023-07-29,2023-08-10,12,0.262,0.277,0.008,680.7,436.5,422.1,4167.07,1
ORD-100025,SUP-026,0.782,Latin America,Machinery,Rail,2024-04-23,2024-04-30,2024-05-05,5,0.0,0.33,0.075,570.7,309.6,232.6,1926.96,1
ORD-100026,SUP-013,0.8,Latin America,Electronics,Sea,2024-05-20,2024-06-09,2024-06-21,12,0.341,0.586,0.125,560.2,647.6,791.4,4131.41,1
ORD-100027,SUP-006,0.63,Middle East/Africa,Electronics,Road,2023-03-07,2023-03-11,2023-03-11,0,0.259,0.0,0.085,526.1,558.9,558.2,8095.72,0
ORD-100028,SUP-011,0.936,Europe,Pharma,Sea,2023-05-12,2023-06-02,2023-06-02,0,0.147,0.0,0.0,507.2,481.2,415.9,26115.03,0
ORD-100029,SUP-033,0.8,Europe,Automotive Parts,Rail,2023-12-18,2023-12-25,2023-12-27,2,0.0,0.351,0.025,413.5,582.8,650.2,6948.24,0
ORD-100030,SUP-014,0.805,Middle East/Africa,Pharma,Air,2023-04-26,2023-04-30,2023-04-30,0,0.259,0.228,0.005,553.0,519.5,558.3,3483.34,0
ORD-100031,SUP-014,0.805,Europe,Machinery,Road,2024-07-15,2024-07-18,2024-07-19,1,0.164,0.125,0.071,786.1,480.0,538.0,2377.25,0
ORD-100032,SUP-002,0.788,Middle East/Africa,Pharma,Rail,2023-10-04,2023-10-12,2023-10-12,0,0.0,0.0,0.014,671.6,511.1,606.8,3730.82,0
ORD-100033,SUP-037,0.757,Asia Pacific,Electronics,Road,2023-12-31,2024-01-04,2024-01-04,0,0.13,0.446,0.01,494.2,180.6,198.9,2667.32,0
ORD-100034,SUP-004,0.652,Latin America,FMCG,Sea,2024-02-15,2024-03-08,2024-03-10,2,0.895,0.456,0.353,677.3,493.0,484.7,3418.52,1
ORD-100035,SUP-026,0.782,Middle East/Africa,Machinery,Road,2023-06-13,2023-06-19,2023-06-27,8,0.656,0.289,0.092,381.4,506.6,649.6,5218.98,1
ORD-100036,SUP-023,0.548,North America,Machinery,Road,2023-04-16,2023-04-22,2023-04-25,3,0.311,0.364,0.059,411.8,434.0,503.7,1820.9,1
ORD-100037,SUP-011,0.936,Europe,Automotive Parts,Rail,2024-08-10,2024-08-19,2024-08-20,1,0.248,0.0,0.014,499.0,291.7,326.9,9661.84,0
ORD-100038,SUP-028,0.644,Europe,FMCG,Rail,2024-09-16,2024-09-22,2024-09-22,0,0.246,0.034,0.009,500.1,469.0,421.3,4506.99,0
ORD-100039,SUP-032,,Middle East/Africa,Electronics,Road,2023-10-30,2023-11-05,2023-11-05,0,0.0,0.305,0.071,864.5,684.0,626.1,3198.75,0
ORD-100040,SUP-039,0.777,Asia Pacific,Automotive Parts,Road,2024-02-17,2024-02-23,2024-02-23,0,0.544,0.0,0.025,503.8,280.7,208.8,8839.41,0
ORD-100041,SUP-008,0.711,Europe,Pharma,Road,2024-04-07,2024-04-13,2024-04-13,0,0.0,0.065,0.009,704.5,542.4,569.3,7698.56,0
ORD-100042,SUP-011,0.936,Europe,Automotive Parts,Road,2023-01-22,2023-01-28,2023-01-28,0,0.044,0.463,0.055,237.0,384.6,440.7,4749.68,0
ORD-100043,SUP-014,0.805,North America,Automotive Parts,Rail,2023-06-15,2023-06-22,2023-06-22,0,0.1,0.478,0.013,544.6,524.7,599.5,11108.82,0
ORD-100044,SUP-034,0.576,North America,FMCG,Sea,2024-06-15,2024-07-07,2024-07-07,0,0.12,0.064,0.069,626.7,438.1,589.2,3822.95,0
ORD-100045,SUP-002,0.788,Latin America,Machinery,Sea,2023-02-22,2023-03-17,2023-03-17,0,0.591,0.166,0.492,534.6,501.9,542.6,4562.67,0
ORD-100046,SUP-020,0.762,Asia Pacific,Pharma,Sea,2024-06-25,2024-07-17,2024-07-17,0,0.0,0.348,0.18,536.4,471.6,447.9,7514.96,0
ORD-100047,SUP-037,0.757,Latin America,Textiles,Air,2023-01-04,2023-01-09,2023-01-09,0,0.188,0.091,0.092,462.9,291.7,281.8,6876.56,0
ORD-100048,SUP-016,0.842,North America,Automotive Parts,Rail,2023-05-22,2023-05-29,2023-05-29,0,0.516,0.222,0.004,442.6,299.9,417.1,4377.93,0
ORD-100049,SUP-023,0.548,Middle East/Africa,Automotive Parts,Sea,2023-02-05,2023-02-27,2023-03-02,3,0.269,0.341,0.147,514.4,394.5,368.8,10580.37,1
ORD-100050,SUP-039,0.777,North America,Textiles,Sea,2023-07-24,2023-08-14,2023-08-20,6,0.0,0.309,0.206,649.4,480.7,479.3,4843.7,1
ORD-100051,SUP-016,0.842,Latin America,Electronics,Sea,2023-09-25,2023-10-17,2023-10-17,0,0.189,0.461,0.284,498.7,433.8,485.0,7201.03,0
ORD-100052,SUP-015,0.574,North America,Electronics,Road,2023-03-21,2023-03-26,2023-03-27,1,0.267,0.076,0.088,492.6,531.0,441.6,12999.49,0
ORD-100053,SUP-010,0.898,Asia Pacific,Automotive Parts,Road,2023-01-24,2023-01-28,2023-02-02,5,0.173,0.378,0.006,444.0,309.2,346.1,7185.06,1
ORD-100054,SUP-025,0.704,North America,Textiles,Rail,2023-02-28,2023-03-06,2023-03-06,0,0.001,0.093,0.048,489.6,427.5,435.5,5225.35,0
ORD-100055,SUP-018,0.727,Middle East/Africa,Textiles,Road,2024-07-26,2024-07-29,2024-07-29,0,0.297,0.378,0.048,680.8,491.2,588.7,3961.69,0
ORD-100056,SUP-019,0.75,Latin America,Electronics,Road,2023-04-13,2023-04-16,2023-04-16,0,0.4,0.329,0.068,707.3,527.8,514.6,6614.19,0
ORD-100057,SUP-036,0.714,Europe,Machinery,Sea,2023-06-15,2023-07-06,2023-07-14,8,0.464,0.0,0.255,513.5,540.4,430.9,6787.33,1
ORD-100058,SUP-028,0.644,Latin America,Machinery,Sea,2024-05-19,2024-06-11,2024-06-11,0,0.31,0.133,0.289,661.0,326.8,333.3,5306.47,0
ORD-100059,SUP-014,0.805,Middle East/Africa,Textiles,Sea,2023-03-25,2023-04-14,2023-04-21,7,0.174,0.175,0.16,669.0,381.9,423.8,10712.81,1
ORD-100060,SUP-011,0.936,Latin America,Automotive Parts,Sea,2023-05-28,2023-06-19,2023-06-19,0,0.322,0.167,0.021,482.8,526.0,429.2,5687.37,0
ORD-100061,SUP-038,0.957,Europe,FMCG,Road,2024-07-09,2024-07-15,2024-07-15,0,0.49,0.149,0.047,551.4,504.8,548.0,5966.69,0
ORD-100062,SUP-024,0.818,Latin America,Automotive Parts,Rail,2024-05-24,2024-05-30,2024-05-30,0,0.015,0.291,0.056,413.9,394.3,315.8,4795.75,0
ORD-100063,SUP-017,0.619,Middle East/Africa,Automotive Parts,Sea,2023-09-11,2023-10-03,2023-10-03,0,0.0,0.314,0.407,563.8,334.0,331.6,6734.06,0
ORD-100064,SUP-032,0.702,Europe,Textiles,Road,2023-12-08,2023-12-11,2023-12-11,0,0.656,0.16,0.008,487.1,329.8,315.9,3655.26,0
ORD-100065,SUP-040,0.607,Asia Pacific,FMCG,Sea,2023-01-21,2023-02-11,2023-02-11,0,0.211,0.421,0.555,555.8,429.4,438.8,20911.12,0
ORD-100066,SUP-011,0.936,Latin America,Textiles,Rail,2024-05-16,2024-05-24,2024-05-24,0,0.38,0.527,0.073,402.3,391.9,373.1,3577.51,0
ORD-100067,SUP-032,0.702,Asia Pacific,Textiles,Rail,2024-04-05,2024-04-12,2024-04-12,0,0.401,0.0,0.049,473.7,358.8,336.7,6069.63,0
ORD-100068,SUP-021,0.656,Europe,FMCG,Sea,2024-02-07,2024-03-01,2024-03-09,8,0.0,0.5,0.229,767.1,254.0,232.2,11227.06,1
ORD-100069,SUP-035,0.443,Europe,Textiles,Air,2023-04-25,2023-04-30,2023-04-30,0,0.455,0.235,0.041,151.3,437.1,388.9,14574.3,0
ORD-100070,SUP-039,0.777,North America,Pharma,Road,2023-09-13,2023-09-18,2023-09-18,0,0.477,0.006,0.077,674.1,263.3,252.5,1931.5,0
ORD-100071,SUP-012,0.612,North America,Electronics,Road,2023-04-18,2023-04-21,2023-04-21,0,0.214,0.0,0.053,680.9,534.9,612.7,3605.19,0
ORD-100072,SUP-014,0.805,Europe,Electronics,Rail,2024-08-22,2024-08-28,2024-08-28,0,0.309,0.014,0.018,594.4,655.9,731.8,5118.68,0
ORD-100073,SUP-023,0.548,Latin America,Machinery,Road,2023-01-20,2023-01-23,2023-01-23,0,0.38,0.09,0.019,575.8,363.5,389.9,4620.66,0
ORD-100074,SUP-018,0.727,North America,Automotive Parts,Sea,2024-01-01,2024-01-24,2024-02-02,9,0.295,0.23,0.198,527.1,540.2,608.2,2522.55,1
ORD-100075,SUP-033,0.8,North America,Electronics,Sea,2024-05-15,2024-06-04,2024-06-04,0,0.179,0.151,0.495,604.1,436.6,486.9,8846.31,0
ORD-100076,SUP-021,0.656,North America,Textiles,Rail,2023-12-27,2024-01-04,2024-01-04,0,0.033,0.051,0.024,177.0,294.8,268.2,3252.27,0
ORD-100077,SUP-003,0.783,Middle East/Africa,Automotive Parts,Air,2024-06-26,2024-07-01,2024-07-01,0,0.75,0.0,0.058,253.2,729.4,808.8,7749.3,0
ORD-100078,SUP-025,0.704,Latin America,Pharma,Road,2023-05-07,2023-05-10,2023-05-10,0,0.356,0.087,0.049,457.9,345.5,294.5,8526.98,0
ORD-100079,SUP-018,0.727,Europe,Electronics,Air,2024-06-10,2024-06-13,2024-06-13,0,0.0,0.283,0.018,354.7,671.6,694.0,4857.2,0
ORD-100080,SUP-007,0.877,North America,Textiles,Road,2024-02-10,2024-02-15,2024-02-15,0,0.41,0.582,0.079,562.0,322.9,346.0,1861.38,0
ORD-100081,SUP-004,0.652,Europe,Pharma,Sea,2024-03-05,2024-03-25,2024-03-25,0,,0.236,0.094,833.4,301.5,325.2,4546.48,0
ORD-100082,SUP-037,0.757,Asia Pacific,Textiles,Road,2024-02-13,2024-02-16,2024-02-16,0,0.592,0.0,0.05,379.4,646.7,809.4,3567.11,0
ORD-100083,SUP-032,0.702,Middle East/Africa,Machinery,Road,2024-02-17,2024-02-23,2024-02-23,0,0.184,0.048,0.023,412.0,426.3,377.8,1932.29,0
ORD-100084,SUP-038,0.957,Europe,Pharma,Rail,2023-07-27,2023-08-04,2023-08-05,1,0.0,0.001,0.1,207.3,374.5,328.2,7455.03,0
ORD-100085,SUP-016,0.842,Europe,Machinery,Road,2024-06-09,2024-06-15,2024-06-15,0,0.563,0.018,0.08,336.2,412.0,487.0,5626.29,0
ORD-100086,SUP-039,0.777,North America,FMCG,Sea,2024-05-15,2024-06-05,2024-06-05,0,0.164,0.024,0.0,321.4,457.2,346.7,6119.16,0
ORD-100087,SUP-037,0.757,Latin America,Automotive Parts,Rail,2023-09-12,2023-09-19,2023-10-03,14,0.58,0.134,0.088,674.9,482.1,505.4,6781.18,1
ORD-100088,SUP-018,0.727,Latin America,Automotive Parts,Rail,2024-06-10,2024-06-16,2024-06-16,0,0.12,0.0,0.061,467.3,388.0,442.3,1903.11,0
ORD-100089,SUP-012,0.612,Latin America,FMCG,Air,2024-07-14,2024-07-16,2024-07-24,8,0.307,0.242,0.022,381.0,633.7,749.5,4014.82,1
ORD-100090,SUP-019,0.75,North America,Pharma,Road,2024-05-15,2024-05-19,2024-05-19,0,0.36,0.106,0.006,524.1,450.4,479.9,19403.51,0
ORD-100091,SUP-039,0.777,Europe,FMCG,Sea,2023-10-15,2023-11-04,2023-11-04,0,0.376,0.0,0.0,488.8,500.2,492.5,6199.22,0
ORD-100092,SUP-023,0.548,Europe,FMCG,Road,2023-01-08,2023-01-12,2023-01-12,0,,0.021,0.006,576.9,435.3,406.9,3254.68,0
ORD-100093,SUP-004,0.652,Europe,Textiles,Road,2024-02-22,2024-02-27,2024-02-27,0,0.208,0.0,0.046,258.0,484.2,499.2,7381.67,0
ORD-100094,SUP-040,0.607,Middle East/Africa,Textiles,Rail,2024-02-26,2024-03-05,2024-03-12,7,0.202,0.0,0.089,458.6,571.3,560.1,9469.59,1
ORD-100095,SUP-035,0.443,North America,FMCG,Rail,2023-09-06,2023-09-14,2023-09-26,12,0.415,0.053,0.077,300.8,324.4,350.5,8934.08,1
ORD-100096,SUP-025,0.704,North America,Automotive Parts,Sea,2023-01-07,2023-01-30,2023-01-31,1,0.149,0.399,0.361,568.4,709.8,641.3,14466.1,0
ORD-100097,SUP-031,0.712,Latin America,Automotive Parts,Road,2023-08-05,2023-08-11,2023-08-11,0,0.134,0.23,0.038,175.2,566.9,523.4,16743.92,0
ORD-100098,SUP-021,0.656,Asia Pacific,Automotive Parts,Sea,2024-07-05,2024-07-25,2024-07-25,0,0.36,0.0,0.002,590.8,294.8,305.1,5864.75,0
ORD-100099,SUP-013,0.8,Europe,Automotive Parts,Road,2024-04-09,2024-04-14,2024-04-14,0,0.0,0.198,0.015,580.5,333.2,244.6,5418.65,0
ORD-100100,SUP-025,0.704,Middle East/Africa,Automotive Parts,Rail,2024-06-03,2024-06-12,2024-06-30,18,0.129,0.169,0.08,372.4,481.3,380.2,5806.83,1
ORD-100101,SUP-022,0.872,Europe,Automotive Parts,Sea,2024-06-16,2024-07-07,2024-07-07,0,0.591,0.0,0.029,431.9,351.6,308.5,8600.32,0
ORD-100102,SUP-037,0.757,Middle East/Africa,Machinery,Sea,2023-01-03,2023-01-24,2023-01-24,0,0.221,0.138,0.0,250.8,453.5,526.6,4244.93,0
ORD-100103,SUP-024,0.818,Europe,Machinery,Sea,2023-06-22,2023-07-15,2023-07-15,0,0.322,0.364,0.0,568.3,351.9,381.1,4097.55,0
ORD-100104,SUP-033,0.8,Europe,Textiles,Road,2024-05-27,2024-06-01,2024-06-02,1,0.095,0.478,0.064,447.6,481.4,564.3,12406.13,0
ORD-100105,SUP-010,0.898,Europe,Pharma,Road,2023-01-16,2023-01-20,2023-01-20,0,0.636,0.31,0.093,438.3,513.4,460.2,4620.69,0
ORD-100106,SUP-036,0.714,Europe,Textiles,Road,2024-08-01,2024-08-06,2024-08-06,0,0.632,0.131,0.077,553.2,318.3,337.1,4349.41,0
ORD-100107,SUP-028,0.644,Asia Pacific,Textiles,Sea,2024-09-15,2024-10-08,2024-10-08,0,0.239,0.435,0.145,497.9,462.2,383.8,5116.34,0
ORD-100108,SUP-007,0.877,Middle East/Africa,Automotive Parts,Sea,2024-05-19,2024-06-09,2024-06-09,0,0.403,0.319,0.0,544.0,287.2,307.3,4067.73,0
ORD-100109,SUP-004,0.652,Europe,Electronics,Sea,2023-12-26,2024-01-15,2024-01-30,15,0.502,0.0,0.298,714.4,289.5,313.4,4356.78,1
ORD-100110,SUP-016,0.842,Asia Pacific,FMCG,Sea,2023-07-05,2023-07-27,2023-08-01,5,0.272,0.41,0.261,402.9,442.9,401.2,2773.88,1
ORD-100111,SUP-022,0.872,Middle East/Africa,Machinery,Road,2023-06-13,2023-06-16,2023-06-30,14,0.363,0.195,0.077,632.5,440.7,428.7,6655.87,1
ORD-100112,SUP-019,0.75,Middle East/Africa,Pharma,Road,2023-04-30,2023-05-06,2023-05-06,0,0.484,0.1,0.058,678.2,514.4,573.5,2957.76,0
ORD-100113,SUP-012,0.612,Europe,Pharma,Road,2024-07-28,2024-08-02,2024-08-10,8,0.191,0.123,0.089,356.7,500.8,655.8,5680.21,1
ORD-100114,SUP-016,0.842,North America,FMCG,Air,2024-03-03,2024-03-05,2024-03-14,9,0.378,0.084,0.009,421.4,299.1,320.8,7625.74,1
ORD-100115,SUP-024,0.818,Europe,Machinery,Sea,2023-08-03,2023-08-24,2023-08-24,0,0.209,0.155,0.299,431.1,552.9,538.8,15777.28,0
ORD-100116,SUP-017,0.619,Middle East/Africa,Textiles,Rail,2024-09-18,2024-09-26,2024-10-01,5,0.0,0.152,0.0,398.7,339.2,364.9,11787.24,1
ORD-100117,SUP-036,0.714,Latin America,Electronics,Sea,2024-05-19,2024-06-08,2024-06-08,0,0.197,0.242,0.399,443.1,313.4,251.6,2675.14,0
ORD-100118,SUP-014,0.805,Asia Pacific,Textiles,Road,2023-09-27,2023-10-01,2023-10-14,13,0.256,0.263,0.086,577.0,418.9,465.3,3582.97,1
ORD-100119,SUP-014,0.805,Middle East/Africa,FMCG,Road,2023-06-18,2023-06-21,2023-07-04,13,0.296,0.155,0.03,259.0,543.5,629.1,13716.68,1
ORD-100120,SUP-016,0.842,Middle East/Africa,Machinery,Sea,2023-01-23,2023-02-14,2023-02-14,0,0.47,0.097,0.622,628.9,353.0,315.1,2509.27,0
ORD-100121,SUP-019,0.75,Europe,Textiles,Road,2024-01-24,2024-01-29,2024-01-29,0,0.278,0.415,0.064,459.3,352.6,373.2,2870.96,0
ORD-100122,SUP-027,0.793,North America,Electronics,Road,2023-09-18,2023-09-22,2023-09-22,0,0.114,0.089,0.047,302.0,423.6,292.2,5163.99,0
ORD-100123,SUP-038,0.957,North America,Machinery,Road,2024-06-17,2024-06-23,2024-06-23,0,0.008,0.154,0.08,387.2,507.6,715.6,5585.44,0
ORD-100124,SUP-024,0.818,Middle East/Africa,Pharma,Sea,2024-01-03,2024-01-25,2024-01-25,0,0.15,0.485,0.238,393.7,268.4,195.8,12317.72,0
ORD-100125,SUP-033,0.8,Middle East/Africa,Automotive Parts,Air,2024-06-09,2024-06-14,2024-06-14,0,0.462,0.28,0.004,443.5,519.1,602.9,3007.4,0
ORD-100126,SUP-040,0.607,Latin America,Electronics,Road,2023-02-21,2023-02-26,2023-03-08,10,0.195,0.426,0.065,621.3,486.6,490.7,2578.75,1
ORD-100127,SUP-029,0.765,Asia Pacific,Machinery,Road,2023-01-08,2023-01-12,2023-01-13,1,0.0,0.434,0.008,619.7,426.5,390.0,4018.9,0
ORD-100128,SUP-036,0.714,Asia Pacific,FMCG,Road,2023-07-16,2023-07-20,2023-07-20,0,0.018,0.27,0.038,828.6,284.6,269.3,3994.34,0
ORD-100129,SUP-024,0.818,Europe,Textiles,Road,2023-04-02,2023-04-08,2023-04-08,0,0.346,0.0,0.038,565.5,609.2,720.8,5351.42,0
ORD-100130,SUP-005,0.967,Asia Pacific,Pharma,Air,2023-09-03,2023-09-07,2023-09-07,0,0.0,0.0,0.031,493.9,308.6,310.7,1246.34,0
ORD-100131,SUP-006,0.63,Latin America,Automotive Parts,Sea,2024-09-21,2024-10-11,2024-10-12,1,0.085,0.249,0.777,229.2,388.1,348.7,2933.54,0
ORD-100132,SUP-021,0.656,Latin America,FMCG,Air,2023-12-23,2023-12-27,2023-12-27,0,0.411,0.244,0.1,322.5,488.9,462.7,2619.88,0
ORD-100133,SUP-024,0.818,Europe,Pharma,Road,2023-09-10,2023-09-16,2023-09-17,1,0.06,0.268,0.091,614.1,481.0,407.4,3271.1,0
ORD-100134,SUP-020,0.762,North America,Machinery,Road,2024-09-12,2024-09-17,2024-09-17,0,0.315,0.257,0.048,495.6,480.6,556.0,3437.86,0
ORD-100135,SUP-011,0.936,North America,Pharma,Rail,2024-07-07,2024-07-14,2024-07-21,7,0.575,0.0,0.06,243.1,603.7,638.3,2141.39,1
ORD-100136,SUP-008,0.711,Asia Pacific,Machinery,Road,2023-01-20,2023-01-25,2023-02-09,15,0.493,0.298,0.002,529.2,684.8,660.0,9771.58,1
ORD-100137,SUP-024,0.818,Asia Pacific,Machinery,Air,2023-01-06,2023-01-10,2023-01-10,0,0.194,0.181,0.063,446.5,471.7,481.9,2763.09,0
ORD-100138,SUP-004,0.652,Asia Pacific,Pharma,Rail,2024-02-09,2024-02-15,2024-02-28,13,0.495,0.205,0.03,591.3,450.1,395.0,1873.31,1
ORD-100139,SUP-034,0.576,Asia Pacific,Machinery,Road,2023-06-20,2023-06-24,2023-06-25,1,0.147,0.16,0.023,199.4,459.5,461.1,802.95,0
ORD-100140,SUP-010,0.898,Latin America,Machinery,Road,2024-03-12,2024-03-16,2024-03-17,1,0.337,0.0,0.03,467.4,512.9,379.1,2755.69,0
ORD-100141,SUP-015,0.574,North America,Electronics,Rail,2023-01-30,2023-02-08,2023-02-08,0,0.487,0.333,0.058,531.4,201.2,188.2,8226.43,0
ORD-100142,SUP-013,0.8,Asia Pacific,Electronics,Road,2024-08-22,2024-08-27,2024-08-27,0,0.33,0.24,0.049,412.6,638.3,511.1,5183.29,0
ORD-100143,SUP-030,0.76,North America,FMCG,Rail,2024-02-10,2024-02-16,2024-02-16,0,0.339,0.179,0.096,432.5,110.1,110.4,3623.21,0
ORD-100144,SUP-013,0.8,Europe,FMCG,Sea,2024-06-28,2024-07-21,2024-08-01,11,0.27,0.34,0.185,625.6,606.8,665.8,4453.07,1
ORD-100145,SUP-003,0.783,Latin America,Machinery,Rail,2023-09-10,2023-09-19,2023-09-19,0,0.793,0.051,0.009,517.0,412.7,444.6,3357.85,0
ORD-100146,SUP-013,0.8,Middle East/Africa,Machinery,Road,2023-01-13,2023-01-19,2023-01-19,0,0.128,0.379,0.091,637.1,336.2,407.4,3192.16,0
ORD-100147,SUP-028,0.644,Europe,Textiles,Road,2023-01-11,2023-01-16,2023-01-16,0,0.0,0.0,0.018,216.8,363.0,430.7,15543.54,0
ORD-100148,SUP-016,0.842,Asia Pacific,FMCG,Rail,2024-09-15,2024-09-23,2024-09-23,0,0.404,0.492,0.083,267.1,544.7,506.1,5377.39,0
ORD-100149,SUP-034,0.576,Latin America,FMCG,Sea,2023-10-31,2023-11-21,2023-11-30,9,0.33,0.204,0.288,260.9,605.0,727.4,8100.97,1
ORD-100150,SUP-025,0.704,Europe,Pharma,Rail,2023-04-05,2023-04-11,2023-04-11,0,0.35,0.336,0.016,509.1,584.7,630.1,3218.74,0
ORD-100151,SUP-026,0.782,North America,Automotive Parts,Road,2024-02-08,2024-02-13,2024-02-13,0,0.312,0.185,0.03,418.4,366.1,434.9,2242.74,0
ORD-100152,SUP-031,0.712,Asia Pacific,Machinery,Sea,2023-11-05,2023-11-25,2023-12-03,8,0.338,0.136,0.368,260.3,505.5,658.9,5038.32,1
ORD-100153,SUP-029,0.765,Asia Pacific,FMCG,Air,2024-09-06,2024-09-08,2024-09-08,0,0.51,0.152,0.077,341.4,360.0,440.3,6312.95,0
ORD-100154,SUP-009,0.768,Middle East/Africa,Automotive Parts,Sea,2023-08-30,2023-09-22,2023-09-26,4,0.426,0.01,0.111,337.4,506.3,560.6,3048.17,1
ORD-100155,SUP-009,0.768,Asia Pacific,Automotive Parts,Air,2023-01-29,2023-01-31,2023-01-31,0,0.368,0.539,0.009,453.9,245.4,229.9,3033.94,0
ORD-100156,SUP-001,0.823,North America,Machinery,Sea,2023-06-30,2023-07-20,2023-08-02,13,,0.453,0.145,210.0,652.7,743.3,4485.84,1
ORD-100157,SUP-005,0.967,Middle East/Africa,Machinery,Sea,2023-11-01,2023-11-23,2023-11-24,1,0.016,0.232,0.078,345.5,398.4,403.5,4603.69,0
ORD-100158,SUP-024,0.818,Asia Pacific,FMCG,Sea,2024-05-10,2024-06-02,2024-06-11,9,0.507,0.057,0.335,516.4,576.3,526.8,3668.96,1
ORD-100159,SUP-006,0.63,Middle East/Africa,Electronics,Air,2023-05-25,2023-05-28,2023-05-28,0,0.294,0.167,0.088,666.0,341.1,285.7,5663.49,0
