order_id,supplier_id,supplier_reliability_score,region,product_category,transport_mode,order_date,expected_delivery_date,actual_delivery_date,delay_days,weather_risk_index,geopolitical_risk_index,port_congestion_index,inventory_level_units,demand_forecast_units,actual_demand_units,order_value_usd,disruption_flag,demand_variance_pct,inventory_coverage_ratio,composite_risk_score,order_month,order_weekday,risk_tier
ORD-100010,SUP-033,0.8,Middle East/Africa,Pharma,Sea,2024-02-05,2024-02-25,2024-02-25,0,0.356,0.107,0.208,426.0,379.3,427.6,6107.11,0,12.73398365409966,0.9962581852198316,0.222,2,Monday,Low
ORD-100011,SUP-021,0.656,Middle East/Africa,Electronics,Rail,2023-09-29,2023-10-08,2023-10-09,1,0.416,0.0,0.078,316.9,515.7,500.0,3847.78,0,-3.044405662206718,0.6337999999999999,0.253,9,Friday,Low
ORD-100012,SUP-017,0.619,North America,Machinery,Rail,2023-09-07,2023-09-13,2023-09-13,0,0.352,0.164,0.001,628.1,488.9,479.4,1677.02,0,-1.9431376559623645,1.3101793909052983,0.273,9,Thursday,Low
ORD-100013,SUP-025,0.704,Latin America,Pharma,Road,2024-08-28,2024-09-03,2024-09-09,6,0.211,0.095,0.055,498.7,567.0,554.5,3000.9,1,-2.204585537918871,0.8993688007213706,0.198,8,Wednesday,Low
ORD-100014,SUP-007,0.877,Middle East/Africa,Automotive Parts,Road,2024-07-24,2024-07-28,2024-07-29,1,0.349,0.373,0.095,428.4,363.8,352.1,4099.44,0,-3.2160527762506836,1.2166998011928427,0.225,7,Wednesday,Low
ORD-100015,SUP-028,0.644,Europe,Textiles,Road,2023-03-17,2023-03-20,2023-03-20,0,0.299,0.326,0.024,670.0,384.1,242.4,1574.91,0,-36.89143452225983,2.764026402640264,0.286,3,Friday,Low
ORD-100016,SUP-016,0.842,Middle East/Africa,Pharma,Air,2023-06-11,2023-06-15,2023-06-16,1,0.42,0.204,0.063,574.7,398.2,509.3,18285.83,0,27.900552486187852,1.1284115452581975,0.218,6,Sunday,Low
ORD-100017,SUP-008,0.711,Europe,Textiles,Rail,2023-09-06,2023-09-15,2023-09-29,14,0.138,0.086,0.097,522.6,220.5,232.5,7670.81,1,5.442176870748299,2.2477419354838712,0.182,9,Wednesday,Low
ORD-100018,SUP-002,0.788,Europe,Machinery,Sea,2023-01-29,2023-02-20,2023-02-20,0,0.595,0.41,0.161,551.1,448.3,540.6,10295.98,0,20.588891367387912,1.0194228634850167,0.34,1,Sunday,Medium
ORD-100019,SUP-033,0.8,Europe,Electronics,Road,2023-06-24,2023-06-30,2023-06-30,0,0.344,0.127,0.053,547.9,473.2,586.5,3353.16,0,23.943364327979715,0.9341858482523444,0.199,6,Saturday,Low
ORD-100020,SUP-009,0.768,North America,Pharma,Road,2023-05-13,2023-05-16,2023-05-16,0,0.512,0.431,0.036,549.8,360.2,444.0,9817.75,0,23.26485285952249,1.2382882882882882,0.312,5,Saturday,Low
ORD-100021,SUP-005,0.967,Asia Pacific,Electronics,Rail,2023-11-04,2023-11-12,2023-11-12,0,0.429,0.405,0.07,435.0,408.9,302.8,7559.24,0,-25.947664465639512,1.4365918097754293,0.212,11,Saturday,Low
ORD-100022,SUP-038,0.957,North America,Textiles,Road,2023-12-02,2023-12-05,2023-12-05,0,0.297,0.319,0.026,557.6,446.1,307.7,4697.65,0,-31.024433983411797,1.8121546961325967,0.159,12,Saturday,Low
ORD-100023,SUP-023,0.548,Asia Pacific,Machinery,Sea,2023-04-26,2023-05-19,2023-05-24,5,0.449,0.156,0.661,452.1,396.4,368.1,2078.8,1,-7.139253279515629,1.228198859005705,0.423,4,Wednesday,Medium
ORD-100024,SUP-034,0.576,North America,Machinery,Road,2023-07-25,2023-07-29,2023-08-10,12,0.262,0.277,0.008,680.7,436.5,422.1,4167.07,1,-3.298969072164943,1.6126510305614783,0.292,7,Tuesday,Low
ORD-100025,SUP-026,0.782,Latin America,Machinery,Rail,2024-04-23,2024-04-30,2024-05-05,5,0.0,0.33,0.075,570.7,309.6,232.6,1926.96,1,-24.87080103359174,2.453568357695615,0.164,4,Tuesday,Low
ORD-100026,SUP-013,0.8,Latin America,Electronics,Sea,2024-05-20,2024-06-09,2024-06-21,12,0.341,0.586,0.125,560.2,647.6,791.4,4131.41,1,22.205064854848665,0.7078594895122569,0.301,5,Monday,Low
ORD-100027,SUP-006,0.63,Middle East/Africa,Electronics,Road,2023-03-07,2023-03-11,2023-03-11,0,0.259,0.0,0.085,526.1,558.9,558.2,8095.72,0,-0.12524601896581353,0.9424937298459333,0.226,3,Tuesday,Low
ORD-100028,SUP-011,0.936,Europe,Pharma,Sea,2023-05-12,2023-06-02,2023-06-02,0,0.147,0.0,0.0,507.2,481.2,415.9,26115.03,0,-13.570241064006652,1.2195239240201972,0.062,5,Friday,Low
ORD-100029,SUP-033,0.8,Europe,Automotive Parts,Rail,2023-12-18,2023-12-25,2023-12-27,2,0.0,0.351,0.025,413.5,582.8,650.2,6948.24,0,11.564859299931381,0.6359581667179329,0.154,12,Monday,Low
ORD-100030,SUP-014,0.805,Middle East/Africa,Pharma,Air,2023-04-26,2023-04-30,2023-04-30,0,0.259,0.228,0.005,553.0,519.5,558.3,3483.34,0,7.468719923002879,0.9905068959340857,0.189,4,Wednesday,Low
ORD-100031,SUP-014,0.805,Europe,Machinery,Road,2024-07-15,2024-07-18,2024-07-19,1,0.164,0.125,0.071,786.1,480.0,538.0,2377.25,0,12.083333333333334,1.4611524163568774,0.155,7,Monday,Low
ORD-100032,SUP-002,0.788,Middle East/Africa,Pharma,Rail,2023-10-04,2023-10-12,2023-10-12,0,0.0,0.0,0.014,671.6,511.1,606.8,3730.82,0,18.72432009391507,1.1067897165458143,0.087,10,Wednesday,Low
ORD-100033,SUP-037,0.757,Asia Pacific,Electronics,Road,2023-12-31,2024-01-04,2024-01-04,0,0.13,0.446,0.01,494.2,180.6,198.9,2667.32,0,10.132890365448512,2.4846656611362494,0.22,12,Sunday,Low
ORD-100034,SUP-004,0.652,Latin America,FMCG,Sea,2024-02-15,2024-03-08,2024-03-10,2,0.895,0.456,0.353,677.3,493.0,484.7,3418.52,1,-1.6835699797160268,1.3973591912523209,0.507,2,Thursday,Medium
ORD-100035,SUP-026,0.782,Middle East/Africa,Machinery,Road,2023-06-13,2023-06-19,2023-06-27,8,0.656,0.289,0.092,381.4,506.6,649.6,5218.98,1,28.22739834188709,0.5871305418719212,0.323,6,Tuesday,Low
ORD-100036,SUP-023,0.548,North America,Machinery,Road,2023-04-16,2023-04-22,2023-04-25,3,0.311,0.364,0.059,411.8,434.0,503.7,1820.9,1,16.05990783410138,0.8175501290450665,0.34,4,Sunday,Medium
ORD-100037,SUP-011,0.936,Europe,Automotive Parts,Rail,2024-08-10,2024-08-19,2024-08-20,1,0.248,0.0,0.014,499.0,291.7,326.9,9661.84,0,12.067192320877611,1.5264606913429184,0.09,8,Saturday,Low
ORD-100038,SUP-028,0.644,Europe,FMCG,Rail,2024-09-16,2024-09-22,2024-09-22,0,0.246,0.034,0.009,500.1,469.0,421.3,4506.99,0,-10.17057569296375,1.1870401139330644,0.212,9,Monday,Low
ORD-100039,SUP-032,0.762,Middle East/Africa,Electronics,Road,2023-10-30,2023-11-05,2023-11-05,0,0.0,0.305,0.071,864.5,684.0,626.1,3198.75,0,-8.464912280701752,1.380769845072672,0.167,10,Monday,Low
ORD-100040,SUP-039,0.777,Asia Pacific,Automotive Parts,Road,2024-02-17,2024-02-23,2024-02-23,0,0.544,0.0,0.025,503.8,280.7,208.8,8839.41,0,-25.61453509084431,2.4128352490421454,0.229,2,Saturday,Low
ORD-100041,SUP-008,0.711,Europe,Pharma,Road,2024-04-07,2024-04-13,2024-04-13,0,0.0,0.065,0.009,704.5,542.4,569.3,7698.56,0,4.959439528023594,1.2374846302476727,0.13,4,Sunday,Low
ORD-100042,SUP-011,0.936,Europe,Automotive Parts,Road,2023-01-22,2023-01-28,2023-01-28,0,0.044,0.463,0.055,237.0,384.6,440.7,4749.68,0,14.586583463338524,0.537780803267529,0.137,1,Sunday,Low
ORD-100043,SUP-014,0.805,North America,Automotive Parts,Rail,2023-06-15,2023-06-22,2023-06-22,0,0.1,0.478,0.013,544.6,524.7,599.5,11108.82,0,14.255765199161416,0.9084236864053378,0.201,6,Thursday,Low
ORD-100044,SUP-034,0.576,North America,FMCG,Sea,2024-06-15,2024-07-07,2024-07-07,0,0.12,0.064,0.069,626.7,438.1,589.2,3822.95,0,34.48984250171194,1.0636456211812628,0.223,6,Saturday,Low
ORD-100045,SUP-002,0.788,Latin America,Machinery,Sea,2023-02-22,2023-03-17,2023-03-17,0,0.591,0.166,0.492,534.6,501.9,542.6,4562.67,0,8.109185096632805,0.985256173977147,0.34,2,Wednesday,Medium
ORD-100046,SUP-020,0.762,Asia Pacific,Pharma,Sea,2024-06-25,2024-07-17,2024-07-17,0,0.0,0.348,0.18,536.4,471.6,447.9,7514.96,0,-5.025445292620875,1.1975887474882787,0.192,6,Tuesday,Low
ORD-100047,SUP-037,0.757,Latin America,Textiles,Air,2023-01-04,2023-01-09,2023-01-09,0,0.188,0.091,0.092,462.9,291.7,281.8,6876.56,0,-3.3938978402468214,1.6426543647977287,0.176,1,Wednesday,Low
ORD-100048,SUP-016,0.842,North America,Automotive Parts,Rail,2023-05-22,2023-05-29,2023-05-29,0,0.516,0.222,0.004,442.6,299.9,417.1,4377.93,0,39.079693231077044,1.06113641812515,0.237,5,Monday,Low
ORD-100049,SUP-023,0.548,Middle East/Africa,Automotive Parts,Sea,2023-02-05,2023-02-27,2023-03-02,3,0.269,0.341,0.147,514.4,394.5,368.8,10580.37,1,-6.514575411913811,1.3947939262472884,0.338,2,Sunday,Medium
ORD-100050,SUP-039,0.777,North America,Textiles,Sea,2023-07-24,2023-08-14,2023-08-20,6,0.0,0.309,0.206,649.4,480.7,479.3,4843.7,1,-0.2912419388391881,1.354892551637805,0.182,7,Monday,Low
ORD-100051,SUP-016,0.842,Latin America,Electronics,Sea,2023-09-25,2023-10-17,2023-10-17,0,0.189,0.461,0.284,498.7,433.8,485.0,7201.03,0,11.802674043337941,1.0282474226804124,0.245,9,Monday,Low
ORD-100052,SUP-015,0.574,North America,Electronics,Road,2023-03-21,2023-03-26,2023-03-27,1,0.267,0.076,0.088,492.6,531.0,441.6,12999.49,0,-16.83615819209039,1.1154891304347827,0.266,3,Tuesday,Low
ORD-100053,SUP-010,0.898,Asia Pacific,Automotive Parts,Road,2023-01-24,2023-01-28,2023-02-02,5,0.173,0.378,0.006,444.0,309.2,346.1,7185.06,1,11.934023285899107,1.2828662236347876,0.161,1,Tuesday,Low
ORD-100054,SUP-025,0.704,North America,Textiles,Rail,2023-02-28,2023-03-06,2023-03-06,0,0.001,0.093,0.048,489.6,427.5,435.5,5225.35,0,1.8713450292397662,1.1242250287026407,0.144,2,Tuesday,Low
ORD-100055,SUP-018,0.727,Middle East/Africa,Textiles,Road,2024-07-26,2024-07-29,2024-07-29,0,0.297,0.378,0.048,680.8,491.2,588.7,3961.69,0,19.849348534201965,1.1564464073382026,0.266,7,Friday,Low
ORD-100056,SUP-019,0.75,Latin America,Electronics,Road,2023-04-13,2023-04-16,2023-04-16,0,0.4,0.329,0.068,707.3,527.8,514.6,6614.19,0,-2.5009473285335226,1.3744656043528953,0.276,4,Thursday,Low
ORD-100057,SUP-036,0.714,Europe,Machinery,Sea,2023-06-15,2023-07-06,2023-07-14,8,0.464,0.0,0.255,513.5,540.4,430.9,6787.33,1,-20.26276831976314,1.1916918078440475,0.269,6,Thursday,Low
ORD-100058,SUP-028,0.644,Latin America,Machinery,Sea,2024-05-19,2024-06-11,2024-06-11,0,0.31,0.133,0.289,661.0,326.8,333.3,5306.47,0,1.9889840881272949,1.9831983198319831,0.29,5,Sunday,Low
ORD-100059,SUP-014,0.805,Middle East/Africa,Textiles,Sea,2023-03-25,2023-04-14,2023-04-21,7,0.174,0.175,0.16,669.0,381.9,423.8,10712.81,1,10.97145849698875,1.5785747994336952,0.18,3,Saturday,Low
ORD-100060,SUP-011,0.936,Latin America,Automotive Parts,Sea,2023-05-28,2023-06-19,2023-06-19,0,0.322,0.167,0.021,482.8,526.0,429.2,5687.37,0,-18.40304182509506,1.124883504193849,0.143,5,Sunday,Low
ORD-100061,SUP-038,0.957,Europe,FMCG,Road,2024-07-09,2024-07-15,2024-07-15,0,0.49,0.149,0.047,551.4,504.8,548.0,5966.69,0,8.557844690966718,1.0062043795620437,0.177,7,Tuesday,Low
ORD-100062,SUP-024,0.818,Latin America,Automotive Parts,Rail,2024-05-24,2024-05-30,2024-05-30,0,0.015,0.291,0.056,413.9,394.3,315.8,4795.75,0,-19.9086989601826,1.310639645345155,0.143,5,Friday,Low
ORD-100063,SUP-017,0.619,Middle East/Africa,Automotive Parts,Sea,2023-09-11,2023-10-03,2023-10-03,0,0.0,0.314,0.407,563.8,334.0,331.6,6734.06,0,-0.7185628742514902,1.7002412545235221,0.276,9,Monday,Low
ORD-100064,SUP-032,0.702,Europe,Textiles,Road,2023-12-08,2023-12-11,2023-12-11,0,0.656,0.16,0.008,487.1,329.8,315.9,3655.26,0,-4.214675560946038,1.5419436530547643,0.316,12,Friday,Low
ORD-100065,SUP-040,0.607,Asia Pacific,FMCG,Sea,2023-01-21,2023-02-11,2023-02-11,0,0.211,0.421,0.555,555.8,429.4,438.8,20911.12,0,2.1891010712622347,1.2666362807657245,0.377,1,Saturday,Medium
ORD-100066,SUP-011,0.936,Latin America,Textiles,Rail,2024-05-16,2024-05-24,2024-05-24,0,0.38,0.527,0.073,402.3,391.9,373.1,3577.51,0,-4.79714212809389,1.0782632002144197,0.237,5,Thursday,Low
ORD-100067,SUP-032,0.702,Asia Pacific,Textiles,Rail,2024-04-05,2024-04-12,2024-04-12,0,0.401,0.0,0.049,473.7,358.8,336.7,6069.63,0,-6.1594202898550785,1.406890406890407,0.227,4,Friday,Low
ORD-100068,SUP-021,0.656,Europe,FMCG,Sea,2024-02-07,2024-03-01,2024-03-09,8,0.0,0.5,0.229,767.1,254.0,232.2,11227.06,1,-8.582677165354335,3.3036175710594318,0.272,2,Wednesday,Low
ORD-100069,SUP-035,0.443,Europe,Textiles,Air,2023-04-25,2023-04-30,2023-04-30,0,0.455,0.235,0.041,151.3,437.1,388.9,14574.3,0,-11.027224891329226,0.38904602725636417,0.39,4,Tuesday,Medium
ORD-100070,SUP-039,0.777,North America,Pharma,Road,2023-09-13,2023-09-18,2023-09-18,0,0.477,0.006,0.077,674.1,263.3,252.5,1931.5,0,-4.10178503608052,2.66970297029703,0.221,9,Wednesday,Low
ORD-100071,SUP-012,0.612,North America,Electronics,Road,2023-04-18,2023-04-21,2023-04-21,0,0.214,0.0,0.053,680.9,534.9,612.7,3605.19,0,14.544774724247537,1.111310592459605,0.217,4,Tuesday,Low
ORD-100072,SUP-014,0.805,Europe,Electronics,Rail,2024-08-22,2024-08-28,2024-08-28,0,0.309,0.014,0.018,594.4,655.9,731.8,5118.68,0,11.571885958225337,0.8122437824542225,0.161,8,Thursday,Low
ORD-100073,SUP-023,0.548,Latin America,Machinery,Road,2023-01-20,2023-01-23,2023-01-23,0,0.38,0.09,0.019,575.8,363.5,389.9,4620.66,0,7.262723521320488,1.4767889202359579,0.297,1,Friday,Low
ORD-100074,SUP-018,0.727,North America,Automotive Parts,Sea,2024-01-01,2024-01-24,2024-02-02,9,0.295,0.23,0.198,527.1,540.2,608.2,2522.55,1,12.587930396149574,0.8666557053600789,0.259,1,Monday,Low
ORD-100075,SUP-033,0.8,North America,Electronics,Sea,2024-05-15,2024-06-04,2024-06-04,0,0.179,0.151,0.495,604.1,436.6,486.9,8846.31,0,11.52084287677507,1.2407065105771207,0.229,5,Wednesday,Low
ORD-100076,SUP-021,0.656,North America,Textiles,Rail,2023-12-27,2024-01-04,2024-01-04,0,0.033,0.051,0.024,177.0,294.8,268.2,3252.27,0,-9.023066485753061,0.6599552572706935,0.16,12,Wednesday,Low
ORD-100077,SUP-003,0.783,Middle East/Africa,Automotive Parts,Air,2024-06-26,2024-07-01,2024-07-01,0,0.75,0.0,0.058,253.2,729.4,808.8,7749.3,0,10.885659446120096,0.31305637982195844,0.283,6,Wednesday,Low
ORD-100078,SUP-025,0.704,Latin America,Pharma,Road,2023-05-07,2023-05-10,2023-05-10,0,0.356,0.087,0.049,457.9,345.5,294.5,8526.98,0,-14.76121562952243,1.5548387096774192,0.232,5,Sunday,Low
ORD-100079,SUP-018,0.727,Europe,Electronics,Air,2024-06-10,2024-06-13,2024-06-13,0,0.0,0.283,0.018,354.7,671.6,694.0,4857.2,0,3.3353186420488354,0.5110951008645533,0.168,6,Monday,Low
ORD-100080,SUP-007,0.877,North America,Textiles,Road,2024-02-10,2024-02-15,2024-02-15,0,0.41,0.582,0.079,562.0,322.9,346.0,1861.38,0,7.153917621554669,1.6242774566473988,0.28,2,Saturday,Low
ORD-100081,SUP-004,0.652,Europe,Pharma,Sea,2024-03-05,2024-03-25,2024-03-25,0,0.295,0.236,0.094,833.4,301.5,325.2,4546.48,0,7.860696517412931,2.562730627306273,0.274,3,Tuesday,Low
ORD-100082,SUP-037,0.757,Asia Pacific,Textiles,Road,2024-02-13,2024-02-16,2024-02-16,0,0.592,0.0,0.05,379.4,646.7,809.4,3567.11,0,25.158496984691496,0.46874227823078823,0.253,2,Tuesday,Low
ORD-100083,SUP-032,0.702,Middle East/Africa,Machinery,Road,2024-02-17,2024-02-23,2024-02-23,0,0.184,0.048,0.023,412.0,426.3,377.8,1932.29,0,-11.376964578935024,1.0905240868184225,0.178,2,Saturday,Low
ORD-100084,SUP-038,0.957,Europe,Pharma,Rail,2023-07-27,2023-08-04,2023-08-05,1,0.0,0.001,0.1,207.3,374.5,328.2,7455.03,0,-12.363150867823768,0.6316270566727605,0.032,7,Thursday,Low
ORD-100085,SUP-016,0.842,Europe,Machinery,Road,2024-06-09,2024-06-15,2024-06-15,0,0.563,0.018,0.08,336.2,412.0,487.0,5626.29,0,18.203883495145632,0.6903490759753593,0.22,6,Sunday,Low
ORD-100086,SUP-039,0.777,North America,FMCG,Sea,2024-05-15,2024-06-05,2024-06-05,0,0.164,0.024,0.0,321.4,457.2,346.7,6119.16,0,-24.168853893263343,0.9270262474762042,0.135,5,Wednesday,Low
ORD-100087,SUP-037,0.757,Latin America,Automotive Parts,Rail,2023-09-12,2023-09-19,2023-10-03,14,0.58,0.134,0.088,674.9,482.1,505.4,6781.18,1,4.833022194565433,1.3353779184804115,0.282,9,Tuesday,Low
ORD-100088,SUP-018,0.727,Latin America,Automotive Parts,Rail,2024-06-10,2024-06-16,2024-06-16,0,0.12,0.0,0.061,467.3,388.0,442.3,1903.11,0,13.994845360824746,1.0565227221342979,0.148,6,Monday,Low
ORD-100089,SUP-012,0.612,Latin America,FMCG,Air,2024-07-14,2024-07-16,2024-07-24,8,0.307,0.242,0.022,381.0,633.7,749.5,4014.82,1,18.273631055704584,0.5083388925950634,0.284,7,Sunday,Low
ORD-100090,SUP-019,0.75,North America,Pharma,Road,2024-05-15,2024-05-19,2024-05-19,0,0.36,0.106,0.006,524.1,450.4,479.9,19403.51,0,6.549733570159859,1.0921025213586164,0.212,5,Wednesday,Low
ORD-100091,SUP-039,0.777,Europe,FMCG,Sea,2023-10-15,2023-11-04,2023-11-04,0,0.376,0.0,0.0,488.8,500.2,492.5,6199.22,0,-1.5393842463014773,0.99248730964467,0.183,10,Sunday,Low
ORD-100092,SUP-023,0.548,Europe,FMCG,Road,2023-01-08,2023-01-12,2023-01-12,0,0.295,0.021,0.006,576.9,435.3,406.9,3254.68,0,-6.524236158970832,1.417793069550258,0.26,1,Sunday,Low
ORD-100093,SUP-004,0.652,Europe,Textiles,Road,2024-02-22,2024-02-27,2024-02-27,0,0.208,0.0,0.046,258.0,484.2,499.2,7381.67,0,3.0978934324659235,0.5168269230769231,0.198,2,Thursday,Low
ORD-100094,SUP-040,0.607,Middle East/Africa,Textiles,Rail,2024-02-26,2024-03-05,2024-03-12,7,0.202,0.0,0.089,458.6,571.3,560.1,9469.59,1,-1.960441099247319,0.8187823602928048,0.221,2,Monday,Low
ORD-100095,SUP-035,0.443,North America,FMCG,Rail,2023-09-06,2023-09-14,2023-09-26,12,0.415,0.053,0.077,300.8,324.4,350.5,8934.08,1,8.045622688039465,0.8582025677603424,0.349,9,Wednesday,Medium
ORD-100096,SUP-025,0.704,North America,Automotive Parts,Sea,2023-01-07,2023-01-30,2023-01-31,1,0.149,0.399,0.361,568.4,709.8,641.3,14466.1,0,-9.650605804451958,0.8863246530484953,0.29,1,Saturday,Low
ORD-100097,SUP-031,0.712,Latin America,Automotive Parts,Road,2023-08-05,2023-08-11,2023-08-11,0,0.134,0.23,0.038,175.2,566.9,523.4,16743.92,0,-7.673310989592522,0.33473442873519293,0.2,8,Saturday,Low
ORD-100098,SUP-021,0.656,Asia Pacific,Automotive Parts,Sea,2024-07-05,2024-07-25,2024-07-25,0,0.36,0.0,0.002,590.8,294.8,305.1,5864.75,0,3.49389416553596,1.936414290396591,0.228,7,Friday,Low
ORD-100099,SUP-013,0.8,Europe,Automotive Parts,Road,2024-04-09,2024-04-14,2024-04-14,0,0.0,0.198,0.015,580.5,333.2,244.6,5418.65,0,-26.5906362545018,2.3732624693376945,0.122,4,Tuesday,Low
ORD-100100,SUP-025,0.704,Middle East/Africa,Automotive Parts,Rail,2024-06-03,2024-06-12,2024-06-30,18,0.129,0.169,0.08,372.4,481.3,380.2,5806.83,1,-21.005609806773325,0.979484481851657,0.196,6,Monday,Low
ORD-100101,SUP-022,0.872,Europe,Automotive Parts,Sea,2024-06-16,2024-07-07,2024-07-07,0,0.591,0.0,0.029,431.9,351.6,308.5,8600.32,0,-12.258248009101257,1.4,0.203,6,Sunday,Low
ORD-100102,SUP-037,0.757,Middle East/Africa,Machinery,Sea,2023-01-03,2023-01-24,2023-01-24,0,0.221,0.138,0.0,250.8,453.5,526.6,4244.93,0,16.119073869900777,0.4762628180782377,0.18,1,Tuesday,Low
ORD-100103,SUP-024,0.818,Europe,Machinery,Sea,2023-06-22,2023-07-15,2023-07-15,0,0.322,0.364,0.0,568.3,351.9,381.1,4097.55,0,8.297811878374551,1.4912096562581998,0.226,6,Thursday,Low
ORD-100104,SUP-033,0.8,Europe,Textiles,Road,2024-05-27,2024-06-01,2024-06-02,1,0.095,0.478,0.064,447.6,481.4,564.3,12406.13,0,17.220606564187783,0.7931951089845828,0.209,5,Monday,Low
ORD-100105,SUP-010,0.898,Europe,Pharma,Road,2023-01-16,2023-01-20,2023-01-20,0,0.636,0.31,0.093,438.3,513.4,460.2,4620.69,0,-10.36229061160888,0.9524119947848761,0.276,1,Monday,Low
ORD-100106,SUP-036,0.714,Europe,Textiles,Road,2024-08-01,2024-08-06,2024-08-06,0,0.632,0.131,0.077,553.2,318.3,337.1,4349.41,0,5.9063776311655705,1.641056066449125,0.31,8,Thursday,Low
ORD-100107,SUP-028,0.644,Asia Pacific,Textiles,Sea,2024-09-15,2024-10-08,2024-10-08,0,0.239,0.435,0.145,497.9,462.2,383.8,5116.34,0,-16.962353959324965,1.2972902553413235,0.311,9,Sunday,Low
ORD-100108,SUP-007,0.877,Middle East/Africa,Automotive Parts,Sea,2024-05-19,2024-06-09,2024-06-09,0,0.403,0.319,0.0,544.0,287.2,307.3,4067.73,0,6.998607242339841,1.770257077774162,0.214,5,Sunday,Low
ORD-100109,SUP-004,0.652,Europe,Electronics,Sea,2023-12-26,2024-01-15,2024-01-30,15,0.502,0.0,0.298,714.4,289.5,313.4,4356.78,1,8.255613126079439,2.2795149968091897,0.309,12,Tuesday,Low
ORD-100110,SUP-016,0.842,Asia Pacific,FMCG,Sea,2023-07-05,2023-07-27,2023-08-01,5,0.272,0.41,0.261,402.9,442.9,401.2,2773.88,1,-9.415217882140436,1.0042372881355932,0.252,7,Wednesday,Low
ORD-100111,SUP-022,0.872,Middle East/Africa,Machinery,Road,2023-06-13,2023-06-16,2023-06-30,14,0.363,0.195,0.077,632.5,440.7,428.7,6655.87,1,-2.7229407760381212,1.4753907161184978,0.192,6,Tuesday,Low
ORD-100112,SUP-019,0.75,Middle East/Africa,Pharma,Road,2023-04-30,2023-05-06,2023-05-06,0,0.484,0.1,0.058,678.2,514.4,573.5,2957.76,0,11.489113530326598,1.18256320836966,0.25,4,Sunday,Low
ORD-100113,SUP-012,0.612,Europe,Pharma,Road,2024-07-28,2024-08-02,2024-08-10,8,0.191,0.123,0.089,356.7,500.8,655.8,5680.21,1,30.950479233226822,0.5439158279963404,0.241,7,Sunday,Low
ORD-100114,SUP-016,0.842,North America,FMCG,Air,2024-03-03,2024-03-05,2024-03-14,9,0.378,0.084,0.009,421.4,299.1,320.8,7625.74,1,7.255098629220992,1.3135910224438903,0.176,3,Sunday,Low
ORD-100115,SUP-024,0.818,Europe,Machinery,Sea,2023-08-03,2023-08-24,2023-08-24,0,0.209,0.155,0.299,431.1,552.9,538.8,15777.28,0,-2.550189907759093,0.8001113585746104,0.201,8,Thursday,Low
